code               ,area      ,cost        ,address                                                                                                                                                                                                                                  ,coordinates
28:10:131016:222   ,   1260.0 ,  644307.8  ,"Амурская область, м.р-н Благовещенский, с.п. Чигиринский сельсовет, с Чигири
                                            "                                                                                                                                                                                                                                        ,"[[[[50.32846437106959, 127.51515864382831]]]]"
28:10:131015:84    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131015:381   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131011:38    ,    609.0 ,  309109.89 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.33515799979094, 127.50794763980403]]]]"
28:10:131006:15    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131005:194   ,    644.0 ,  327579.32 ,"Амурская область, р-н Благовещенский, с/с Чигиринский, с Чигири"                                                                                                                                                                        ,"[[[[50.33629433854514, 127.51874965382119]]]]"
28:10:131004:178   ,    834.0 ,  401559.92 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.335936810151104, 127.52005711614302]]]]"
28:10:131004:177   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131004:175   ,    850.0 ,  370401.73 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.33576987279938, 127.52043828624336]]]]"
28:10:130429:23    ,    660.0 ,   53320.56 ,"Амурская обл, р-н Благовещенский, в районе 7 км. Игнатьевского шоссе, с/т дирекции по строительству совхозов"                                                                                                                           ,"[[[[50.354781845441735, 127.44678611909805]]]]"
28:10:130312:11    ,    514.0 ,   41525.41 ,"Амурская обл., Благовещенский р-н., с\т ""Танкист"" БВТККУ р-он Чигиринского водохранилища"                                                                                                                                             ,"[[[[50.365169360670244, 127.52473671405365]]]]"
28:10:130300:13    ,    600.0 ,   48473.24 ,в районе 11 км Игнатьевского шоссе                                                                                                                                                                                                       ,[]
28:10:130293:40    ,   1000.0 ,   80030.6  ,"Амурская обл., Благовещенский р-н., с/т ""Управления ФСК РФ"", район 7 км Игнатьевского шоссе"                                                                                                                                          ,"[[[[50.36611444292583, 127.43244556636118]]]]"
28:10:130272:30    ,   1420.0 ,   85600.54 ,"Амурская область, р-н. Благовещенский, земельный участок расположен в квартале, граница которого проходит по контуру с/т ""Сельхозработник"", 5-7 км. Игнатьевского шоссе"                                                              ,"[[[[50.34874917290061, 127.47268272295824]]]]"
28:10:130263:95    ,    660.0 ,   53320.56 ,"Амурская область, р-н Благовещенский, с Верхнеблаговещенское, с/т ""Домостроитель"""                                                                                                                                                    ,"[[[[50.309937636662426, 127.42780006311908]]]]"
28:10:130255:70    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:130246:97    ,    872.0 ,   70447.78 ,"Амурская область, р-н. Благовещенский, в районе 10 км а/д Благовещенск - Аэропорт, с/т ""Нива""."                                                                                                                                       ,[]
28:10:130241:19    ,    840.0 ,   67862.54 ,"Амурская область, р-н Благовещенский, в районе 10 км Игнатьевского шоссе, с/т ""Клен"" Благовещенского ГОРПО"                                                                                                                           ,"[[[[50.38362416822964, 127.48015198190787]]]]"
28:10:130239:9     ,   1158.0 ,   83423.79 ,"Амурская область, р-н Благовещенский, земельный участок расположен в районе 8 км автодороги Благовещенск-Свободный, с/т ""Малина"""                                                                                                     ,"[[[[50.360566801846865, 127.53440755768447]]]]"
28:10:130206:71    ,    600.0 ,   48473.24 ,"Амурская область, р-н Благовещенский"                                                                                                                                                                                                   ,[]
28:10:130192:44    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:130192:32    ,   1045.0 ,   82687.25 ,"земельный участок расположен в восточной части кадастрового квартала, граница которого проходит по границе с/т Амургражданпроекта, район 11 км. Игнатьевского шоссе; обл. Амурская, р. Благовещенский"                                  ,[]
28:10:130188:102   ,   1700.0 ,   95868.48 ,"Амурская обл, р-н Благовещенский, с/т ""Луч"" в районе Чигиринского водохранилища."                                                                                                                                                     ,"[[[[50.359810851286056, 127.52123638256141]]]]"
28:10:130160:11    ,    559.0 ,  281414.1  ,"Амурская обл., Благовещенский р-н, Земельный участок расположен в районе с. Чигири, с/т Благовещенского районного Совета народных депутатов, в районе карьера"                                                                          ,"[[[[50.33648724336139, 127.48151003967183]]]]"
28:10:130160:10    ,    647.0 ,  325666.02 ,"Амурская область, р-н Благовещенский, с/с Чигиринский, с Чигири"                                                                                                                                                                        ,"[[[[50.3366109230475, 127.48130308304128]]]]"
28:10:130158:14    ,    660.0 ,   53320.56 ,"Амурская область, р-н Благовещенский, земельный участок расположен в с/т СМЭУ, в районе 7 км Благовещенск - Аэропорт"                                                                                                                   ,"[[[[50.35954242317765, 127.48838565958211]]]]"
28:10:130155:62    ,   1038.0 ,   79723.44 ,"Амурская область, р-н Благовещенский, район Чигиринского водохранилища, садоводческое товарищество "" Медик "" в/ч 74014 ( госпиталь )."                                                                                                ,"[[[[50.36764401667368, 127.52875062932176]]]]"
28:10:130151:214   ,    770.0 ,   56552.11 ,"Российская Федерация, Амурская область, муниципальный округ Благовещенский, район 10 км Игнатьевского шоссе, с/т ""Молочник"""                                                                                                          ,"[[[[50.38117557474031, 127.4804989497237]]]]"
28:10:130151:101   ,    602.0 ,   48634.82 ,"Амурская обл, р-н Благовещенский, земельный участок расположен в районе 10 км Игнатьевского шоссе, с/т ""Молочник"""                                                                                                                    ,"[[[[50.37627699581058, 127.48146251929157]]]]"
28:10:130145:31    ,    900.0 ,   72404.86 ,"Амурская область, муниципальный округ Благовещенский, село Чигири, переулок Волшебный, земельный участок 6"                                                                                                                             ,"[[[[50.345632504321884, 127.46647093474876]]]]"
28:10:130128:29    ,   1409.0 ,   94616.3  ,"Амурская область, р-н Благовещенский"                                                                                                                                                                                                   ,[]
28:10:130128:18    ,   1051.0 ,   82074.37 ,"Амурская обл, р-н Благовещенский, в районе 7 км Игнатьевского шоссе (падь Дальняя, с/т ""Сосна"")"                                                                                                                                      ,"[[[[50.365402798393276, 127.43394122328041]]]]"
28:10:130128:15    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:130105:9     ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:130100:011   ,   1012.2 ,  387308.86 ,"Земельный участок расположен в  с/т ""Колос"" район 7-8 км. Игнатьевского шоссе"                                                                                                                                                        ,"[[[[50.33942688473853, 127.47627942373835]]]]"
28:10:130097:103   ,    642.0 ,   51866.37 ,"Амурская область, р-н Благовещенский, земельный участок расположен в районе 13 км Игнатьевского шоссе, с/т ""Авиатор"" Благовещенского предприятия гражданской авиации"                                                                 ,"[[[[50.39680072950997, 127.42589309016643]]]]"
28:10:130096:94    ,    772.0 ,   62368.9  ,"Амурская область, Благовещенский район, центральная часть кадастрового квартала, ограниченный ориентирами : с/т ""Дубрава"" 7 км. Игнатьевского шоссе"                                                                                  ,[]
28:10:130096:91    ,    610.0 ,   49281.13 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,"[[[[50.3635131683322, 127.42604856319778]]]]"
28:10:130096:91    ,    610.0 ,   49281.13 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,"[[[[50.3635131683322, 127.42604856319778]]]]"
28:10:130096:90    ,    600.0 ,   48473.24 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,[]
28:10:130096:83    ,    600.0 ,   48473.24 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,[]
28:10:130096:82    ,    630.0 ,   50896.9  ,"Амурская обл, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава""."                                                                                                                                                   ,"[[[[50.36423759407762, 127.42676852378273]]]]"
28:10:130096:81    ,    616.0 ,   49765.86 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,"[[[[50.36268691746067, 127.42820766111161]]]]"
28:10:130096:70    ,    650.0 ,   52512.68 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,"[[[[50.36240282717365, 127.42855725123027]]]]"
28:10:130096:50    ,    595.0 ,   48069.3  ,"Амурская область, р-н Благовещенский"                                                                                                                                                                                                   ,"[[[[50.36376998356927, 127.42861928914145]]]]"
28:10:130096:21    ,    600.0 ,   48473.24 ,"Амурская обл, р-н Благовещенский, земельный участок расположен с/т ""Дубрава"", в районе 7 км Игнатьевского шоссе"                                                                                                                      ,[]
28:10:130096:19    ,    600.0 ,   48473.24 ,"Амурская область, р-н Благовещенский, в районе 7 км Игнатьевсого шоссе, с/т ""Дубрава"""                                                                                                                                                ,[]
28:10:130096:16    ,   1602.0 ,   97447.98 ,"Амурская область, р-н Благовещенский, с/т ""Дубрава"" управления МБРФ по Амурской области, 7 км Игнатьевского шоссе"                                                                                                                    ,"[[[[50.36244978546763, 127.4294213622568]]]]"
28:10:130096:0009  ,    600.0 ,   48473.24 ,"Амурская область, р-н Благовещенский, земельный участок расположен в центральной части кадастрового квартала, граница которого проходит по контуру  с/т ""Дубрава"" 7 км Игнатьевского шоссе"                                           ,[]
28:10:130096:0005  ,   1485.0 ,   93097.99 ,"Амурская область, р-н. Благовещенский"                                                                                                                                                                                                  ,"[[[[50.364798361966116, 127.42634216634286]]]]"
28:10:130081:26    ,    976.0 ,   78849.8  ,"Амурская область, р-н Благовещенский, 10 км. Игнатьевского шоссе"                                                                                                                                                                       ,"[[[[50.37880608659585, 127.47332761481374]]]]"
28:10:130059:21    ,    956.0 ,   75897.73 ,"Амурская обл., Благовещенский р-н., в районе 7 км. Новотроицкого шоссе"                                                                                                                                                                 ,"[[[[50.36470839443419, 127.52453282138933]]]]"
28:10:130042:25    ,   1000.0 ,   78339.62 ,"Амурская область, р-н Благовещенский, с/т ""Аграрник"" р-он 8 км Игнатьевского шоссе"                                                                                                                                                   ,[]
28:10:130011:101   ,   1000.0 ,   77313.76 ,"Амурская область, р-н Благовещенский, с/т Администрации Благовещенского района, расположенного в районе 6 км. Игнатьевского шоссе"                                                                                                      ,"[[[[50.350727313944994, 127.46917030926542]]]]"
28:10:122011:144   ,   1366.0 ,  315108.74 ,"Амурская обл, р-н Благовещенский, с Владимировка"                                                                                                                                                                                       ,"[[[[50.298846208223274, 127.64458550852392]]]]"
28:10:121017:5     ,   5389.0 , 1473503.18 ,"Амурская область, р-н Благовещенский, с Усть-Ивановка"                                                                                                                                                                                  ,"[[[[50.31782672079252, 127.74521565569302]]]]"
28:10:121017:185   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:121009:73    ,   1593.0 ,  375038.81 ,"Амурская область, р-н Благовещенский, с/с Усть-Ивановский, с Усть-Ивановка, ул Гагарина"                                                                                                                                                ,"[[[[50.327114936429986, 127.75114388855161]]]]"
28:10:120067:24    ,   1000.0 ,  108340.0  ,"Амурская область, р-н Благовещенский, с Владимировка"                                                                                                                                                                                   ,[]
28:10:120053:11    ,    967.0 ,   72328.83 ,"Амурская область, р-н Благовещенский, район с.Владимировка, с/т ""Лилия"""                                                                                                                                                              ,"[[[[50.28816108201359, 127.63152797095267]]]]"
28:10:120005:66    ,   1042.0 ,   75433.99 ,"Амурская область, р-н Благовещенский, в районе с.Владимировка"                                                                                                                                                                          ,"[[[[50.28820206169415, 127.63292425125476]]]]"
28:10:111003:131   ,   2210.0 ,  367329.21 ,"Амурская область, р-н Благовещенский, с Сергеевка, ул Амурская, д 94"                                                                                                                                                                   ,"[[[[50.75280439581106, 127.2987403360131]]]]"
28:10:110223:143   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:101001:33    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:092004:11    ,   3000.0 ,  631249.13 ,"Амурская область, р-н Благовещенский, с Кантон-Коммуна"                                                                                                                                                                                 ,"[[[[50.40388227747892, 127.54618936692115]]]]"
28:10:092001:19    ,   1500.0 ,  168198.55 ,"Амурская обл., Благовещенский р-н., с. Кантон-Коммуна, земельный участок расположен в северо-восточной части кадастрового квартала, граница которого проходит по ул.Дачная - ул. 8 Марта - граница застройки села. (с. Кантон-Коммуна)" ,"[[[[50.40898954179458, 127.54754683109623]]]]"
28:10:091019:0013  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:091008:39    ,   1266.0 ,  268632.2  ,"Амурская обл, р-н Благовещенский, с Новотроицкое"                                                                                                                                                                                       ,"[[[[50.50439993326123, 127.55338582383344]]]]"
28:10:091001:18    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:042001:119   ,   1870.0 ,  405324.52 ,"Амурская обл, р-н Благовещенский, с Каникурган"                                                                                                                                                                                         ,"[[[[50.20574952078335, 127.63053868108693]]]]"
28:10:042001:119   ,   1870.0 ,  405324.52 ,"Амурская обл, р-н Благовещенский, с Каникурган"                                                                                                                                                                                         ,"[[[[50.20574952078335, 127.63053868108693]]]]"
28:10:040444:0121  ,    975.0 ,   76517.95 ,"Амурская область, р-н Благовещенский, земельный участок расположен в кадастрового квартале, граница которого проходит по контуру с/т ""Заречье"", в/ч 51965, в районе с.Заречное"                                                       ,[]
28:10:033007:121   ,   9506.0 ,   73386.32 ,"Амурская область, р-н Благовещенский, с Удобное"                                                                                                                                                                                        ,"[[[[50.13959517805537, 127.79666644137006]]]]"
28:10:031002:318   ,   2041.0 ,  434369.01 ,"земельный участок расположен в южной части кадастрового квартала, граница которого проходит по ул. Ожидания - северной и  западной границе застройки села - пер. Техническому, квартал 2 (с. Грибское)"                                 ,"[[[[50.195408960162325, 127.75168230670704]]]]"
28:10:030002:379   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:021010:62    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:021010:0022  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013039:1847  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013017:139   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013015:565   ,   2000.0 , 1002116.7  ,"Амурская область, р-н Благовещенский, с/с Чигиринский, с Чигири"                                                                                                                                                                        ,"[[[[50.34181205205363, 127.47951541342229]]]]"
28:10:013013:827   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:795   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:588   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:5668  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:5663  ,    596.0 ,   48150.08 ,"Амурская область, муниципальный округ Благовещенский, территория Дубравушка, земельный участок Л63"                                                                                                                                     ,"[[[[50.35250262242645, 127.47927713726905]]]]"
28:10:013013:54    ,   1650.0 ,  838414.74 ,"Амурская область, р-н. Благовещенский, с. Чигири"                                                                                                                                                                                       ,"[[[[50.34925929313141, 127.525325100398]]]]"
28:10:013013:526   ,   1500.0 ,  739832.59 ,"Амурская обл, р-н Благовещенский, с Чигири"                                                                                                                                                                                             ,"[[[[50.36066986509861, 127.46691793761836]]]]"
28:10:013013:524   ,   1500.0 ,  740110.55 ,"Амурская обл, р-н Благовещенский, с Чигири"                                                                                                                                                                                             ,"[[[[50.36016233685275, 127.46726531326168]]]]"
28:10:013013:524   ,   1500.0 ,  740110.55 ,"Амурская обл, р-н Благовещенский, с Чигири"                                                                                                                                                                                             ,"[[[[50.36016233685275, 127.46726531326168]]]]"
28:10:013013:5141  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:4948  ,   1248.0 ,  615061.86 ,                                                                                                                                                                                                                                         ,"[[[[50.3612690117291, 127.46572554741068]]]]"
28:10:013013:494   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:4852  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:4623  ,    750.0 ,  369931.12 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.36125782527636, 127.46766286877074]]]]"
28:10:013013:4570  ,    715.0 ,  356793.44 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.346507758151674, 127.47920303449965]]]]"
28:10:013013:4504  ,    705.0 ,  354980.97 ,"Амурская область, Благовещенский р-н., с. Чигири"                                                                                                                                                                                       ,"[[[[50.35103154975824, 127.50478153243957]]]]"
28:10:013013:4503  ,    869.0 ,  437817.3  ,"Амурская область, Благовещенский р-н., с. Чигири"                                                                                                                                                                                       ,"[[[[50.34995771200475, 127.50472562722595]]]]"
28:10:013013:4273  ,    610.0 ,  307193.59 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.34780372403166, 127.50240325268621]]]]"
28:10:013013:4260  ,    981.0 ,  483864.64 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.358815649504145, 127.46541051136559]]]]"
28:10:013013:4259  ,    640.0 ,  315618.7  ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35899013947994, 127.46525544854956]]]]"
28:10:013013:4257  ,    874.0 ,  431192.09 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35951888545164, 127.46648249331813]]]]"
28:10:013013:4257  ,    874.0 ,  431192.09 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35951888545164, 127.46648249331813]]]]"
28:10:013013:4256  ,    965.0 ,  476054.87 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35945681617746, 127.46624215242855]]]]"
28:10:013013:4256  ,    965.0 ,  476054.87 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35945681617746, 127.46624215242855]]]]"
28:10:013013:4240  ,   2052.0 , 1030670.95 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.344505725404346, 127.49374050137855]]]]"
28:10:013013:4182  ,    623.0 ,  307236.63 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.35937829877612, 127.46560923533987]]]]"
28:10:013013:4179  ,    734.0 ,  361911.47 ,"Амурская область,муниципальный район Благовещенский, Чигиринский с/с, с. Чигири"                                                                                                                                                        ,"[[[[50.36298144465307, 127.4685357796591]]]]"
28:10:013013:4167  ,    812.0 ,  411890.8  ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.34976171883703, 127.52162391616429]]]]"
28:10:013013:414   ,   2000.0 , 1001088.22 ,"Амурская область, р-н. Благовещенский, с. Чигири"                                                                                                                                                                                       ,"[[[[50.34415112924993, 127.48276037628888]]]]"
28:10:013013:4087  ,    632.0 ,  300269.35 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.36260982414783, 127.46724788548556]]]]"
28:10:013013:4062  ,    630.0 ,  311053.43 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.36096799219009, 127.46960848597088]]]]"
28:10:013013:4026  ,    632.0 ,  315338.78 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.347513781694374, 127.48134442074797]]]]"
28:10:013013:3993  ,   1009.0 ,  496758.1  ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.359241981639116, 127.46177177084525]]]]"
28:10:013013:3915  ,    902.0 ,  445094.49 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.35895665420167, 127.46647473668303]]]]"
28:10:013013:3913  ,    934.0 ,  465609.62 ,"Амурская область, Благовещенский р-н., с. Чигири"                                                                                                                                                                                       ,"[[[[50.34799050613977, 127.47968742250724]]]]"
28:10:013013:3912  ,    751.0 ,  374369.02 ,"Амурская область, Благовещенский р-н., с. Чигири"                                                                                                                                                                                       ,"[[[[50.3478493956186, 127.47942471624938]]]]"
28:10:013013:3901  ,    985.0 ,  484279.96 ,"РФ, Амурская область, м.р-н Благовещенский, с.п. Чигиринский сельсовет, с Чигири, мкр Чигиринская Усадьба, ул Крестьянская, з/у 5"                                                                                                      ,"[[[[50.359291054686956, 127.45894385253095]]]]"
28:10:013013:3866  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:3845  ,    702.0 ,  349782.45 ,                                                                                                                                                                                                                                         ,"[[[[50.34720076269205, 127.47610392139556]]]]"
28:10:013013:3805  ,    782.0 ,  388680.31 ,"Амурская обл., Благовещенский р-н., с/с Чигиринский"                                                                                                                                                                                    ,"[[[[50.3496049685086, 127.47430093546146]]]]"
28:10:013013:3652  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:3651  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:013013:3647  ,    800.0 ,  399882.03 ,"Амурская область, м.р-н Благовещенский , с.п. Чигиринский сельсовет, с Чигири
                                            "                                                                                                                                                                                                                                        ,"[[[[50.346939144206125, 127.4848479140732]]]]"
28:10:013013:3615  ,    809.0 ,  404202.31 ,"Амурская область, м.р-н Благовещенский , с.п. Чигиринский сельсовет, с Чигири
                                            "                                                                                                                                                                                                                                        ,"[[[[50.34642755336798, 127.48339621650706]]]]"
28:10:013013:3613  ,    806.0 ,  402188.26 ,"Амурская область, м.р-н Благовещенский , с.п. Чигиринский сельсовет, с Чигири
                                            "                                                                                                                                                                                                                                        ,"[[[[50.34767666619796, 127.48160888458669]]]]"
28:10:013013:3603  ,    800.0 ,  399702.49 ,"Амурская область, м.р-н Благовещенский , с.п. Чигиринский сельсовет, с Чигири
                                            "                                                                                                                                                                                                                                        ,"[[[[50.34622211384912, 127.48275770300042]]]]"
